source,target,value
Governance,Civso,10
Civso,Civso 1,674
Governance,Tral,10
Tral,Tral 1,223
Governance,Pubad,10
Pubad,Pubad 2,27
Pubad,Pubad 1,169
Pubad,Pubad 3,20
Powersharing,Polps,10
Polps,Polps 3,114
Polps,Polps 1,132
Polps,Polps 2,69
Polps,PpsSt,10
PpsSt,PpsSt 1,235
Polps,PpsSub,10
PpsSub,PpsSub 1,107
Polps,PpsEx,10
PpsEx,PpsEx 1,149
Polps,PpsOro,10
PpsOro,PpsOro 1,112
Polps,PpsOthPr,10
PpsOthPr,PpsOthPr 1,81
Polps,PpsVet,10
PpsVet,PpsVet 1,50
Polps,PpsAut,10
PpsAut,PpsAut 1,15
Polps,PpsInt,10
PpsInt,PpsInt 1,34
Polps,PpsOth,10
PpsOth,PpsOth 1,64
Powersharing,Terps,10
Terps,Terps 3,108
Terps,Terps 1,83
Terps,Terps 2,38
Terps,TpsSub,10
TpsSub,TpsSub 1,88
Terps,TpsLoc,10
TpsLoc,TpsLoc 1,80
Terps,TpsAut,10
TpsAut,TpsAut 1,89
Terps,TpsOth,10
TpsOth,TpsOth 1,71
Powersharing,Eps,10
Eps,Eps 2,20
Eps,Eps 3,50
Eps,Eps 1,54
Eps,EpsRes,10
EpsRes,EpsRes 1,106
Eps,EpsFis,10
EpsFis,EpsFis 1,26
Eps,EpsOth,10
EpsOth,EpsOth 1,3
Powersharing,Mps,10
Mps,Mps 2,61
Mps,Mps 3,83
Mps,Mps 1,70
Mps,MpsMe,10
MpsMe,MpsMe 1,121
Mps,MpsJt,10
MpsJt,MpsJt 1,84
Mps,MpsPro,10
MpsPro,MpsPro 1,102
Mps,MpsOth,10
MpsOth,MpsOth 1,7
Human rights and equality,HrGen,10
HrGen,HrGen 1,548
Human rights and equality,EqGen,10
EqGen,EqGen 1,177
EqGen,EqGen 2,34
EqGen,EqGen 3,60
Human rights and equality,HrDem,10
HrDem,HrDem 2,77
HrDem,HrDem 1,242
HrDem,HrDem 3,62
HrDem,Prot,10
Prot,Prot 1,247
Prot,Prot 2,37
Prot,Prot 3,39
Prot,ProtCiv,10
ProtCiv,ProtCiv 1,96
Prot,ProtGrp,10
ProtGrp,ProtGrp 1,131
Prot,ProtLgl,10
ProtLgl,ProtLgl 1,101
Prot,ProtOth,10
ProtOth,ProtOth 1,162
HrDem,HrFra,10
HrFra,HrFra 3,127
HrFra,HrFra 1,163
HrFra,HrFra 2,66
HrFra,HrfSp,10
HrfSp,HrfSp 1,67
HrFra,HrfBor,10
HrfBor,HrfBor 1,46
HrFra,HrfTinc,10
HrfTinc,HrfTinc 1,288
