id,value,color
PA-X.Groups.GRa.GRe.GRe-1,62,#ff0000
PA-X.Groups.GRa.GRe.GRe-3,65,#ff0000
PA-X.Groups.GRa.GReRhet,
PA-X.Groups.GRa.GReRhet.GReRhet-1,97,#ff0000
PA-X.Groups.GRa.GReAntid,
PA-X.Groups.GRa.GReAntid.GReAntid-1,89,#ff0000
PA-X.Groups.GRa.GReSubs,
PA-X.Groups.GRa.GReSubs.GReSubs-1,128,#ff0000
PA-X.Groups.GRa.GReOth,
PA-X.Groups.GRa.GReOth.GReOth-1,
PA-X.Groups.GInd,
PA-X.Groups.GInd.GInd-3,41,#ff0000
PA-X.Groups.GInd.GInd-1,34,#ff0000
PA-X.Groups.GInd.GInd-2,41,#ff0000
PA-X.Groups.GInd.GIndRhet,
PA-X.Groups.GInd.GIndRhet.GIndRhet-1,56,#ff0000
PA-X.Groups.GInd.GIndAntid,
PA-X.Groups.GInd.GIndAntid.GIndAntid-1,6,#ff0000
PA-X.Groups.GInd.GIndSubs,
PA-X.Groups.GInd.GIndSubs.GIndSubs-1,80,#ff0000
PA-X.Groups.GInd.GIndOth,
PA-X.Groups.GInd.GIndOth.GIndOth-1,3,#ff0000
PA-X.Groups.GOth,
PA-X.Groups.GOth.GOth-2,27,#ff0000
PA-X.Groups.GOth.GOth-3,15,#ff0000
PA-X.Groups.GOth.GOth-1,8,#ff0000
PA-X.Groups.GOth.GOthRhet,
PA-X.Groups.GOth.GOthRhet.GOthRhet-1,13,#ff0000
PA-X.Groups.GOth.GOthAntid,
PA-X.Groups.GOth.GOthAntid.GOthAntid-1,25,#ff0000
PA-X.Groups.GOth.GOthSubs,
PA-X.Groups.GOth.GOthSubs.GOthSubs-1,23,#ff0000
PA-X.Groups.GOth.GOthOth,
PA-X.Groups.GOth.GOthOth.GOthOth-1,1,#ff0000
PA-X.Groups.GRef,
PA-X.Groups.GRef.GRef-2,106,#ff0000
PA-X.Groups.GRef.GRef-1,262,#ff0000
PA-X.Groups.GRef.GRef-3,108,#ff0000
PA-X.Groups.GRef.GRefRhet,
PA-X.Groups.GRef.GRefRhet.GRefRhet-1,217,#ff0000
PA-X.Groups.GRef.GRefSubs,
PA-X.Groups.GRef.GRefSubs.GRefSubs-1,290,#ff0000
PA-X.Groups.GRef.GRefOth,
PA-X.Groups.GRef.GRefOth.GRefOth-1,7,#ff0000
PA-X.Groups.GSoc,
PA-X.Groups.GSoc.GSoc-2,44,#ff0000
PA-X.Groups.GSoc.GSoc-1,18,#ff0000
PA-X.Groups.GSoc.GSoc-3,14,#ff0000
PA-X.Groups.GSoc.GSocRhet,
PA-X.Groups.GSoc.GSocRhet.GSocRhet-1,33,#ff0000
PA-X.Groups.GSoc.GSocAntid,
PA-X.Groups.GSoc.GSocAntid.GSocAntid-1,35,#ff0000
PA-X.Groups.GSoc.GSocSubs,
PA-X.Groups.GSoc.GSocSubs.GSocSubs-1,31,#ff0000
PA-X.Groups.GSoc.GSocOth,
PA-X.Groups.GSoc.GSocOth.GSocOth-1,2,#ff0000
PA-X.Implementation,
PA-X.Implementation.ImPKmPK-1,
PA-X.Implementation.ImPKmPK-1,539,#ff0000
PA-X.Implementation.ImE,
PA-X.Implementation.ImE.ImE-1,708,#ff0000
PA-X.Implementation.ImSrc,
PA-X.Implementation.ImSrc.ImSrc-1,1831,#ff0000
PA-X.Implementation.ConRen,
PA-X.Implementation.ConRen.ConRen-2,24,#ff0000
PA-X.Implementation.ConRen.ConRen-1,38,#ff0000
PA-X.Implementation.ConRen.ConRen-3,36,#ff0000
PA-X.Implementation.ConRen.ConRen-1,38,#ff0000
