source,target,value
Transitional Justice,TjPrire,1
Transitional Justice,TjVet,1
Transitional Justice,TjVic,1
Transitional Justice,TjMis,1
TjMis,TjRep,1
TjRep,TjRSym,1
TjRep,TjRMa,1
Transitional Justice,TjNR,1
Implementation,ImUN,1
Implementation,ImOth,1
Implementation,ImRef,1
Implementation,ImPK,1
Implementation,ImE,1
Implementation,ImSrc,1
Implementation,ConRen,1
